Company Code,Company Name,Category,Registration Status,Validity Period,Bumiputera Status,Bumiputera Validity,Certificate No,Classifications
SA20180908,A.I.D ENTERPRISE,Works,Valid,30/07/2027,yes,30/07/2027,,"E-I-1, E-II-5a, E-II-7, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b, E-VI-5iia, E-VI-5b"
816/04,AB GENERAL TRADING & CONTRACTOR,Works,Expired,31/12/2025,yes,31/12/2025,UPK-K/12191,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SA20161484,ADUN ENTERPRISE,Works,Valid,22/10/2027,yes,22/10/2027,UPK-K/14362,"F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SA2014312,AHZA GENERAL WORK,Works,Valid,18/10/2026,yes,18/10/2026,UPK-K/11920,"D-I-1, D-I-4a, D-I-4b, D-I-4c"
SA20151553,AJ ENTERPRISE,Works,Expired,20/02/2021,yes,20/02/2021,UPK-K/11335,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
SA2012778,AKIAWAS COMPANY,Works,Valid,10/10/2026,yes,10/10/2026,UPK-K/11305,"E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, F-I-1, F-II-5a, F-II-5b, F-II-5c"
SBU/1099/06,AKMAL ENTERPRISE,Works,Valid,,yes,,UPKJ/W/003959,"B-I-1, B-I-3ia, B-I-3iia, B-I-3b, B-I-3c, B-II-1a, B-II-1c, B-II-2a, B-II-2b, B-II-5a, B-II-5b, B-II-5c, B-II-6a, B-III-1a, B-III-1b, B-III-1c, B-III-1d, B-III-1e, B-III-2a, B-III-2b, B-III-2c, B-III-2d, B-III-3a, B-III-3b, B-III-3c, B-III-4a, B-III-4b, B-III-4c, B-IV-1a, B-IV-1b, B-IV-2a, B-IV-2b, B-IV-3, B-IV-4a, B-IV-4b"
SA20160228,ALICEZA ENTERPRISE,Works,Expired,10/3/2026,yes,10/3/2026,UPK-K/10486,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SA20191201,ALLIPAH ENTERPRISE,Works,Expired,8/3/2026,yes,8/3/2026,UPKJ/W/006142,"E-I-1, E-I-2iic, E-I-3iia, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1d, E-III-2b, E-III-2d, E-III-3a, E-III-3c, E-III-4a, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-5c, E-VI-5d, E-VI-6"
706/04,AMR ENTERPRISE,Works,Expired,5/7/2019,yes,5/7/2019,UPKJ-K/05322,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
SA20190868,AMS COMPANY,Works,Valid,22/06/2027,yes,22/06/2027,UPKJ/W/001389,"F-II-1b, F-II-1c, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1d, F-III-1e, F-III-2a, F-III-1a"
962/04,AMZAR ENTERPRISE,Works,Valid,24/05/2026,yes,24/05/2026,UPK-K/05462,"F-I-1, F-I-2ib, F-I-2iib, F-I-2iic, F-I-3iia, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20160508,ANGELA ENTERPRISE,Works,Valid,30/04/2026,yes,30/04/2026,UPK-K/11755,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2iic, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-2b, E-IV-3, E-IV-4a, E-IV-4b"
154/84,ANGKAH AK EMBOL KONTRAKTOR,Works,Valid,11/2/2027,yes,11/2/2027,UPK-K/04816,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20151645,ANIQ ENTERPRISE,Works,Expired,17/11/2019,yes,17/11/2019,UPK-K/09394,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
50/01,ARRZU ENTERPRISE,Works,Valid,20/11/2026,yes,20/11/2026,UPK-K/11652,"F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SBU/BNR/071/2021,ASIACORP SYNERGY RESOURCES CO,Works,Expired,30/10/2025,yes,30/10/2025,,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-I-4a, E-I-4b, E-I-4c, E-I-4d, E-I-5a, E-I-5b, E-I-6, E-I-7, E-I-8, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b, E-VI-5b"
SA20111096,ASTANA CAHAYA DEVELOPMENT,Works,Expired,10/12/2025,yes,10/12/2025,UPK-K/14253,"D-I-1, D-II-1a, D-II-1b, D-II-1c, D-II-2a, D-II-2b, D-II-5a, D-II-5b, D-II-5c, D-II-6a, D-II-6b, D-III-3a, D-III-3b, D-III-1a"
